amfi_code,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code,cagr_3y,sharpe_ratio,alpha,beta,max_drawdown,cagr_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,rank
119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,2006-02-14,NIFTY 100 TRI,1.54,1.0,500,1000,Sohini Andani,Moderate,EC01,0.3044861306002782,1.2229472146851277,0.2320100716063508,-0.0317514411389097,-0.1501238549864533,87.17948717948718,92.3076923076923,76.92307692307693,23.07692307692308,58.97435897435898,73.97435897435898,7
119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.66,1.0,500,1000,Sohini Andani,Moderate,EC01,0.1626337508136064,0.9677516848309506,0.1986859936686296,-0.0261593075135134,-0.1180349350276429,43.58974358974359,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,65.12820512820512,14
119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,2009-09-09,BSE 250 SmallCap TRI,1.43,1.0,500,1000,R. Srinivasan,Very High,EC03,0.2666309129954312,0.9533324621776288,0.3033696538698332,-0.0231960620440596,-0.2870600572176455,71.7948717948718,66.66666666666666,100.0,48.71794871794872,10.256410256410255,66.53846153846153,10
119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,2013-01-01,BSE 250 SmallCap TRI,0.72,1.0,500,1000,R. Srinivasan,Very High,EC03,-0.0133708360228389,-0.0491011694543019,0.0488242159455398,0.0620018043826716,-0.5257422117012851,5.128205128205128,17.94871794871795,10.256410256410255,87.17948717948718,0.0,21.153846153846157,35
119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,2000-12-30,CRISIL Dynamic Gilt Index,0.77,0.0,500,1000,Dinesh Ahuja,Low,DC02,0.0583898844209376,-0.1757233632822941,0.0562089521663836,-0.0064138507282764,-0.0432872892397009,20.51282051282051,12.82051282051282,15.384615384615383,79.48717948717949,89.74358974358975,33.333333333333336,30
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1996-09-11,NIFTY 100 TRI,1.55,1.0,500,1000,Rahul Baijal,Moderate,EC01,0.0129235258921545,-0.18765046878624,0.0374758076344328,-0.0582684314388089,-0.247344408806733,12.82051282051282,10.256410256410255,2.564102564102564,20.51282051282051,15.384615384615383,11.538461538461538,39
125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.92,1.0,500,1000,Rahul Baijal,Moderate,EC01,0.1842991800861004,0.7895427197023165,0.1772975492753176,0.0488204042595773,-0.1520001305560639,53.84615384615385,53.84615384615385,61.53846153846154,66.66666666666666,56.41025641025641,57.56410256410256,15
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,2007-06-25,NIFTY Midcap 150 TRI,1.38,1.0,500,1000,Chirag Setalvad,High,EC02,0.3243397122906222,1.1043517629506805,0.2719535450128533,0.0051035258305283,-0.1621720857464484,92.3076923076923,84.61538461538461,87.17948717948718,56.41025641025641,51.28205128205128,79.87179487179486,4
125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,2013-01-01,NIFTY Midcap 150 TRI,0.78,1.0,500,1000,Chirag Setalvad,High,EC02,0.112425187373742,0.3116040974052222,0.1198910097121797,0.0090544126217391,-0.2111727956013211,35.8974358974359,33.33333333333333,35.8974358974359,76.92307692307693,28.205128205128204,40.64102564102564,27
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,2002-06-25,CRISIL Short Term Bond Index,0.56,0.5,500,1000,Anil Bamboli,Low,DC02,0.039154793546847,-0.5154378235861931,0.0428179203150608,0.0011582183155281,-0.0430826382463634,15.384615384615383,0.0,5.128205128205128,97.43589743589745,92.3076923076923,29.48717948717949,33
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2008-05-23,NIFTY 100 TRI,1.42,1.0,500,1000,Anish Tawakley,Moderate,EC01,0.1397498034821267,0.812502301948814,0.1770330236584407,-0.0402689523698206,-0.1389786282306163,38.46153846153847,56.41025641025641,58.97435897435898,51.28205128205128,66.66666666666666,51.7948717948718,20
120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.8,1.0,500,1000,Anish Tawakley,Moderate,EC01,0.32478927222623,1.0405688566490552,0.2119482701352573,0.016232169761417,-0.1258827560692251,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949,5
120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2004-10-28,NIFTY Midcap 150 TRI,1.36,1.0,500,1000,Sankaran Naren,High,EC02,0.3176924285223732,1.190558596306751,0.2926358334175106,0.0005490042506317,-0.1818851357211629,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718,2
120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,2004-08-16,NIFTY 500 TRI,1.41,1.0,500,1000,Sankaran Naren,Moderately High,EC06,0.1841742926683522,0.6621241011051735,0.1625385327998104,0.0418964627281197,-0.1982565826298267,51.28205128205128,48.71794871794872,51.28205128205128,53.84615384615385,33.33333333333333,49.23076923076923,22
120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2001-11-17,CRISIL Liquid Fund AI Index,0.74,0.0,500,5000,Rahul Goswami,Low,DC01,0.073925387862634,0.9041623305389642,0.0674621041109953,-0.0004440926329707,-0.0009773140045925,28.205128205128204,61.53846153846154,23.07692307692308,84.61538461538461,100.0,51.15384615384615,21
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,2004-08-08,NIFTY 100 TRI,1.51,1.0,500,1000,Sailesh Raj Bhan,Moderate,EC01,0.2264664745674771,1.0959175992660923,0.2182939790460864,-0.008353832126962,-0.1741407508665723,66.66666666666666,82.05128205128204,74.35897435897436,38.46153846153847,43.58974358974359,65.51282051282053,13
118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.72,1.0,500,1000,Sailesh Raj Bhan,Moderate,EC01,0.2108469102938059,0.6596198173038668,0.1564383594816966,-0.0366390067186093,-0.1862974313859551,64.1025641025641,46.15384615384615,46.15384615384615,87.17948717948718,35.8974358974359,56.66666666666667,17
118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2010-09-16,BSE 250 SmallCap TRI,1.53,1.0,500,1000,Samir Rachh,Very High,EC03,0.080060298597036,0.4564261243061777,0.1750072167561127,0.1034966369133759,-0.2334488614483311,33.33333333333333,35.8974358974359,56.41025641025641,28.205128205128204,20.51282051282051,36.53846153846154,29
118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,2001-12-28,NIFTY 50 TRI,0.89,0.0,500,100,Vishal Jain,Moderate,EI01,0.2000321571698329,0.6803950621402518,0.1513635464823924,-0.0014335213897801,-0.1165062450540909,58.97435897435898,51.28205128205128,43.58974358974359,69.23076923076923,76.92307692307693,57.30769230769231,16
118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,1999-08-19,CRISIL Dynamic Gilt Index,0.55,0.0,500,1000,Vivek Sharma,Low,DC02,0.0406125985984033,-0.3060132192394924,0.050747729999761,0.0012566742731558,-0.083163617636387,17.94871794871795,5.128205128205128,12.82051282051282,100.0,87.17948717948718,32.94871794871795,31
120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2005-12-29,NIFTY 100 TRI,1.59,1.0,500,1000,Harsha Upadhyaya,Moderate,EC01,0.1726301444443794,0.5092559163430058,0.1304292445070544,0.0363563990221997,-0.1757361416468729,46.15384615384615,41.02564102564102,38.46153846153847,12.82051282051282,41.02564102564102,37.82051282051282,28
120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,2007-03-30,NIFTY Midcap 150 TRI,1.56,1.0,500,1000,Pankaj Tibrewal,High,EC02,0.0775416750547262,0.0872731847904021,0.0780443887615508,0.0180568742081181,-0.2400351132627488,30.76923076923077,23.07692307692308,28.205128205128204,17.94871794871795,17.94871794871795,25.12820512820513,34
120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,2009-08-11,NIFTY 500 TRI,1.45,1.0,500,1000,Pankaj Tibrewal,Moderately High,EC04,0.2957511058901836,1.3194419817117224,0.2733046503830605,-0.0228295697924265,-0.1297396816518679,84.61538461538461,97.43589743589745,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153,3
120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2004-03-03,CRISIL Liquid Fund AI Index,0.6,0.0,500,5000,Deepak Agrawal,Low,DC01,0.0669439423907485,0.304251823334345,0.0645567749537599,-0.0004007442394784,-0.0011629327956168,25.64102564102564,30.76923076923077,20.51282051282051,94.87179487179486,97.43589743589745,43.46153846153846,25
119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2010-01-05,NIFTY 100 TRI,1.64,1.0,500,1000,Shreyash Devalkar,Moderate,EC01,0.0052576685017868,0.0452453229903436,0.0689952982167755,0.0097307450011536,-0.1440161790933726,10.256410256410255,20.51282051282051,25.64102564102564,0.0,64.1025641025641,19.743589743589745,36
119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.75,1.0,500,1000,Shreyash Devalkar,Moderate,EC01,0.2081155982663189,0.1440412221042839,0.0823280129522209,0.0258832124400931,-0.2175139637014822,61.53846153846154,25.64102564102564,30.76923076923077,82.05128205128204,23.07692307692308,45.64102564102564,23
